Airport_Code,Timezone,Airport_Name
KMSP,US/Central,Minneapolis–Saint Paul International Airport / Wold–Chamberlain Field
KMIA,US/Eastern,Miami International Airport
KTYS,US/Eastern,McGhee Tyson Airport
KSCK,US/Pacific,Stockton Metropolitan Airport
KMCI,US/Central,Kansas City International Airport
KPDT,US/Pacific,Eastern Oregon Regional Airport at Pendleton
KRAL,US/Pacific,Riverside Municipal Airport
KBNA,US/Central,Nashville International Airport
KLAX,US/Pacific,Los Angeles International Airport
KPYM,US/Eastern,Plymouth Municipal Airport
KSGF,US/Central,Springfield Branson National Airport
KSNA,US/Pacific,John Wayne Orange County International Airport
KOQN,US/Eastern,Brandywine Regional Airport
KHHR,US/Pacific,Jack Northrop Field Hawthorne Municipal Airport
KSGS,US/Central,South St Paul Municipal Airport/Richard E Fleming Field
KNYG,US/Eastern,Quantico Marine Corps Airfield / Turner Field
KDYA,US/Central,Demopolis Municipal Airport
KFCM,US/Central,Flying Cloud Airport
KJFK,US/Eastern,John F Kennedy International Airport
KFDK,US/Eastern,Frederick Municipal Airport
KAZC,US/Mountain,Colorado City Municipal Airport
KFMY,US/Eastern,Page Field
KBNA,US/Central,Nashville International Airport
KCHA,US/Eastern,Chattanooga Metropolitan Airport (Lovell Field)
KMIC,US/Central,Crystal Airport
KPIE,US/Eastern,St. Petersburg Clearwater International Airport
KSNA,US/Pacific,John Wayne Orange County International Airport
KFLL,US/Eastern,Fort Lauderdale Hollywood International Airport
KBFI,US/Pacific,Boeing Field King County International Airport
KLMT,US/Pacific,Crater Lake-Klamath Regional Airport
KRIC,US/Eastern,Richmond International Airport
KOPF,US/Eastern,Miami-Opa Locka Executive Airport
KATL,US/Eastern,Hartsfield Jackson Atlanta International Airport
KFAY,US/Eastern,Fayetteville Regional Airport - Grannis Field
KOPF,US/Eastern,Miami-Opa Locka Executive Airport
KLGB,US/Pacific,Long Beach Airport (Daugherty Field)
KCLT,US/Eastern,Charlotte Douglas International Airport
KBCT,US/Eastern,Boca Raton Airport
KGMU,US/Eastern,Greenville Downtown Airport
KEWR,US/Eastern,Newark Liberty International Airport
KSRQ,US/Eastern,Sarasota Bradenton International Airport
KSLE,US/Pacific,Salem-Willamette Valley Airport/McNary Field
KOFP,US/Eastern,Hanover County Municipal Airport
KF70,US/Pacific,French Valley Airport
KORL,US/Eastern,Orlando Executive Airport
KADS,US/Central,Addison Airport
KSMQ,US/Eastern,Somerset Airport
KHWO,US/Eastern,North Perry Airport
KLLQ,US/Central,Monticello Municipal Ellis Field
KPRC,US/Mountain,Prescott International Airport - Ernest A. Love Field
KHHR,US/Pacific,Jack Northrop Field Hawthorne Municipal Airport
KANE,US/Central,Anoka County-Blaine (Janes Field) Airport
KADS,US/Central,Addison Airport
KOPF,US/Eastern,Miami-Opa Locka Executive Airport
KBFI,US/Pacific,Boeing Field King County International Airport
KMIA,US/Eastern,Miami International Airport
KMDW,US/Central,Chicago Midway International Airport
KMIA,US/Eastern,Miami International Airport
KDKK,US/Eastern,Chautauqua County-Dunkirk Airport
KBFI,US/Pacific,Boeing Field King County International Airport
KPMP,US/Eastern,Pompano Beach Airpark
KDED,US/Eastern,Deland Municipal Sidney H Taylor Field
KAGC,US/Eastern,Allegheny County Airport
KCDC,US/Mountain,Cedar City Regional Airport
KAGC,US/Eastern,Allegheny County Airport
KLGD,US/Pacific,La Grande/Union County Airport
KFAT,US/Pacific,Fresno Yosemite International Airport
KCAE,US/Eastern,Columbia Metropolitan Airport
KIAH,US/Central,George Bush Intercontinental Houston Airport
KBFL,US/Pacific,Meadows Field
KPIE,US/Eastern,St. Petersburg Clearwater International Airport
KRDG,US/Eastern,Reading Regional Airport (Carl A Spaatz Field)
KIPT,US/Eastern,Williamsport Regional Airport
KMEM,US/Central,Memphis International Airport
KBFI,US/Pacific,Boeing Field King County International Airport
KGSP,US/Eastern,Greenville Spartanburg International Airport
KMIC,US/Central,Crystal Airport
KOGB,US/Eastern,Orangeburg Municipal Airport
KCID,US/Central,The Eastern Iowa Airport
KORD,US/Central,Chicago O'Hare International Airport
KMXF,US/Central,Maxwell Air Force Base
KCPC,US/Eastern,Columbus County Municipal Airport
KBFL,US/Pacific,Meadows Field
KNIP,US/Eastern,Jacksonville Naval Air Station (Towers Field)
KMHR,US/Pacific,Sacramento Mather Airport
KMFR,US/Pacific,Rogue Valley International Medford Airport
KMCC,US/Pacific,McClellan Airfield
KLNS,US/Eastern,Lancaster Airport
KOPF,US/Eastern,Miami-Opa Locka Executive Airport
KOAK,US/Pacific,San Francisco Bay Oakland International Airport
KFAR,US/Central,Hector International Airport
KCMA,US/Pacific,Camarillo International Airport
KFCI,US/Eastern,Richmond Executive-Chesterfield County Airport
KSAN,US/Pacific,San Diego International Airport
KMIA,US/Eastern,Miami International Airport
KVNY,US/Pacific,Van Nuys Airport
KMOD,US/Pacific,Modesto City Co-Harry Sham Field
KOSU,US/Eastern,The Ohio State University Airport - Don Scott Field
KEHO,US/Eastern,Shelby-Cleveland County Regional Airport
KOSU,US/Eastern,The Ohio State University Airport - Don Scott Field
KMHR,US/Pacific,Sacramento Mather Airport
KFME,US/Eastern,Tipton Airport
KFIG,US/Eastern,Clearfield Lawrence Airport
KADS,US/Central,Addison Airport
KEFD,US/Central,Ellington Airport
KSGJ,US/Eastern,Northeast Florida Regional Airport
KHSV,US/Central,Huntsville International Carl T Jones Field
KRIV,US/Pacific,March Air Reserve Base
KEDC,US/Central,Austin Executive Airport
KAJO,US/Pacific,Corona Municipal Airport
KOPF,US/Eastern,Miami-Opa Locka Executive Airport
KNTU,US/Eastern,Oceana Naval Air Station
KORF,US/Eastern,Norfolk International Airport
KMIA,US/Eastern,Miami International Airport
KBFL,US/Pacific,Meadows Field
KSPA,US/Eastern,Spartanburg Downtown Memorial Airport
KSUS,US/Central,Spirit of St Louis Airport
KCEU,US/Eastern,Oconee County Regional Airport
KPIE,US/Eastern,St. Petersburg Clearwater International Airport
KSGF,US/Central,Springfield Branson National Airport
KSBD,US/Pacific,San Bernardino International Airport
KUAO,US/Pacific,Aurora State Airport
KLGA,US/Eastern,LaGuardia Airport
KFAR,US/Central,Hector International Airport
KOFP,US/Eastern,Hanover County Municipal Airport
KDCA,US/Eastern,Ronald Reagan Washington National Airport
KBOK,US/Pacific,Brookings Airport
KTTA,US/Eastern,Raleigh Executive Jetport
KPDX,US/Pacific,Portland International Airport
KDPA,US/Central,Dupage Airport
KHVN,US/Eastern,Tweed New Haven Airport
KSFB,US/Eastern,Orlando Sanford International Airport
KGKY,US/Central,Arlington Municipal Airport
KHEF,US/Eastern,Manassas Regional Airport/Harry P. Davis Field
KTMB,US/Eastern,Miami Executive Airport
K6A1,US/Eastern,Butler Municipal Airport
KRDU,US/Eastern,Raleigh Durham International Airport
KGYH,US/Eastern,Donaldson Field Airport
KBNA,US/Central,Nashville International Airport
KMYF,US/Pacific,Montgomery-Gibbs Executive Airport
KLGA,US/Eastern,LaGuardia Airport
KGTF,US/Mountain,Great Falls International Airport
KFWS,US/Central,Fort Worth Spinks Airport
KDAL,US/Central,Dallas Love Field
KMXF,US/Central,Maxwell Air Force Base
KGSP,US/Eastern,Greenville Spartanburg International Airport
KRDM,US/Pacific,Roberts Field
KSAR,US/Central,Sparta Community Airport - Hunter Field
KOAK,US/Pacific,San Francisco Bay Oakland International Airport
KMCC,US/Pacific,McClellan Airfield
KVNY,US/Pacific,Van Nuys Airport
KLBF,US/Central,North Platte Regional Airport Lee Bird Field
KOKC,US/Central,Will Rogers World Airport
KBUR,US/Pacific,Hollywood Burbank Airport
K3LF,US/Central,Litchfield Municipal Airport
KSGR,US/Central,Sugar Land Regional Airport
KORL,US/Eastern,Orlando Executive Airport
KNKX,US/Pacific,Miramar Marine Corps Air Station - Mitscher Field
KPTB,US/Eastern,Dinwiddie County Airport
KSTL,US/Central,St. Louis Lambert International Airport
KLAX,US/Pacific,Los Angeles International Airport
KHHR,US/Pacific,Jack Northrop Field Hawthorne Municipal Airport
KFUL,US/Pacific,Fullerton Municipal Airport
KBOS,US/Eastern,Logan International Airport
KOPF,US/Eastern,Miami-Opa Locka Executive Airport
KPWA,US/Central,Wiley Post Airport
KMCO,US/Eastern,Orlando International Airport
KPVD,US/Eastern,Theodore Francis Green State Airport
KMIA,US/Eastern,Miami International Airport
KMWH,US/Pacific,Grant County International Airport
KPVU,US/Mountain,Provo-Utah Lake International Airport
KCQT,US/Pacific,Pacific Valley Aviation Airport
KHIF,US/Mountain,Hill Air Force Base
KCQT,US/Pacific,Pacific Valley Aviation Airport
KCPS,US/Central,St Louis Downtown Airport
KLPC,US/Pacific,Lompoc Airport
KBZN,US/Mountain,Bozeman Yellowstone International Airport
K6A2,US/Eastern,Griffin Spalding County Airport
KRND,US/Central,Randolph Air Force Base
KRBW,US/Eastern,Lowcountry Regional Airport
KCUB,US/Eastern,Jim Hamilton L.B. Owens Airport
KORD,US/Central,Chicago O'Hare International Airport
KMDW,US/Central,Chicago Midway International Airport
KDVT,US/Mountain,Phoenix Deer Valley Airport
K5W8,US/Eastern,Siler City Municipal Airport
KOKC,US/Central,Will Rogers World Airport
KAWO,US/Pacific,Arlington Municipal Airport
KMTO,US/Central,Coles County Memorial Airport
KCDN,US/Eastern,Woodward Field
KCLT,US/Eastern,Charlotte Douglas International Airport
KLFT,US/Central,Lafayette Regional Airport
KCDW,US/Eastern,Essex County Airport
KCIC,US/Pacific,Chico Regional Airport
KORL,US/Eastern,Orlando Executive Airport
KSCH,US/Eastern,Schenectady County Airport
KRJD,US/Eastern,Ridgely Airpark
KTUS,US/Mountain,Tucson International Airport / Morris Air National Guard Base
KHOU,US/Central,William P Hobby Airport
KPHF,US/Eastern,Newport News Williamsburg International Airport
KVNY,US/Pacific,Van Nuys Airport
KLOM,US/Eastern,Wings Field
KMAI,US/Central,Marianna Municipal Airport
KGMU,US/Eastern,Greenville Downtown Airport
KOPF,US/Eastern,Miami-Opa Locka Executive Airport
KOXB,US/Eastern,Ocean City Municipal Airport
KEMT,US/Pacific,San Gabriel Valley Airport
KTHV,US/Eastern,York Airport
KOQN,US/Eastern,Brandywine Regional Airport
KAWM,US/Central,West Memphis Municipal Airport
KBEH,US/Eastern,Southwest Michigan Regional Airport
KBHM,US/Central,Birmingham-Shuttlesworth International Airport
KFUL,US/Pacific,Fullerton Municipal Airport
KCXY,US/Eastern,Capital City Airport
KBNA,US/Central,Nashville International Airport
KBDN,US/Pacific,Bend Municipal Airport
KMFR,US/Pacific,Rogue Valley International Medford Airport
KNTU,US/Eastern,Oceana Naval Air Station
KAJO,US/Pacific,Corona Municipal Airport
KAJO,US/Pacific,Corona Municipal Airport
KSAC,US/Pacific,Sacramento Executive Airport
KTUS,US/Mountain,Tucson International Airport / Morris Air National Guard Base
KMCO,US/Eastern,Orlando International Airport
KAJO,US/Pacific,Corona Municipal Airport
KDET,US/Eastern,Coleman A. Young Municipal Airport
KCQT,US/Pacific,Pacific Valley Aviation Airport
KCRQ,US/Pacific,McClellan-Palomar Airport
KPOC,US/Pacific,Brackett Field
KO69,US/Pacific,Petaluma Municipal Airport
KRBD,US/Central,Dallas Executive Airport
KPAO,US/Pacific,Palo Alto Airport
KSMO,US/Pacific,Santa Monica Municipal Airport
KHKY,US/Eastern,Hickory Regional Airport
KSMO,US/Pacific,Santa Monica Municipal Airport
KHWO,US/Eastern,North Perry Airport
KSAC,US/Pacific,Sacramento Executive Airport
KLDJ,US/Eastern,Linden Airport
KHVN,US/Eastern,Tweed New Haven Airport
KU42,US/Mountain,South Valley Regional Airport
KCXY,US/Eastern,Capital City Airport
KSGU,US/Mountain,St George Regional Airport
KSJC,US/Pacific,Norman Y. Mineta San Jose International Airport
KFAT,US/Pacific,Fresno Yosemite International Airport
KFSK,US/Central,Fort Scott Municipal Airport
KXLL,US/Eastern,Allentown Queen City Municipal Airport
KSAC,US/Pacific,Sacramento Executive Airport
KSBD,US/Pacific,San Bernardino International Airport
KIXA,US/Eastern,Halifax-Northampton Regional Airport
KFMM,US/Mountain,Fort Morgan Municipal Airport
KGOO,US/Pacific,Nevada County Airport
KIND,US/Eastern,Indianapolis International Airport
KBFL,US/Pacific,Meadows Field
KLGA,US/Eastern,LaGuardia Airport
KNFG,US/Pacific,Camp Pendleton MCAS (Munn Field) Airport
KBED,US/Eastern,Laurence G Hanscom Field
KLGA,US/Eastern,LaGuardia Airport
KRSW,US/Eastern,Southwest Florida International Airport
KUKF,US/Eastern,Wilkes County Airport
KDAL,US/Central,Dallas Love Field
KFLL,US/Eastern,Fort Lauderdale Hollywood International Airport
KGSP,US/Eastern,Greenville Spartanburg International Airport
KLNS,US/Eastern,Lancaster Airport
KPDK,US/Eastern,DeKalb Peachtree Airport
KFCI,US/Eastern,Richmond Executive-Chesterfield County Airport
KDAA,US/Eastern,Davison Army Air Field
KMIC,US/Central,Crystal Airport
KAND,US/Eastern,Anderson Regional Airport
KUGN,US/Central,Waukegan National Airport
KTMB,US/Eastern,Miami Executive Airport
KCPC,US/Eastern,Columbus County Municipal Airport
KTUS,US/Mountain,Tucson International Airport / Morris Air National Guard Base
KDET,US/Eastern,Coleman A. Young Municipal Airport
KHWD,US/Pacific,Hayward Executive Airport
KMQS,US/Eastern,Chester County G O Carlson Airport
KPHX,US/Mountain,Phoenix Sky Harbor International Airport
KEMT,US/Pacific,San Gabriel Valley Airport
KMWK,US/Eastern,Mount Airy Surry County Airport
KSMO,US/Pacific,Santa Monica Municipal Airport
KIOW,US/Central,Iowa City Municipal Airport
KPNS,US/Central,Pensacola International Airport
KDET,US/Eastern,Coleman A. Young Municipal Airport
KGED,US/Eastern,Delaware Coastal Airport
KBFI,US/Pacific,Boeing Field King County International Airport
KLGB,US/Pacific,Long Beach Airport (Daugherty Field)
KMAN,US/Mountain,Nampa Municipal Airport
KRIC,US/Eastern,Richmond International Airport
KCMH,US/Eastern,John Glenn Columbus International Airport
KM46,US/Mountain,Colstrip Airport
KCQT,US/Pacific,Pacific Valley Aviation Airport
KRVS,US/Central,Tulsa Riverside Airport
KMAE,US/Pacific,Madera Municipal Airport
KFMY,US/Eastern,Page Field
KSCK,US/Pacific,Stockton Metropolitan Airport
KMIC,US/Central,Crystal Airport
KUNV,US/Eastern,State College Regional Airport
KEUG,US/Pacific,Mahlon Sweet Field
KRDU,US/Eastern,Raleigh Durham International Airport
KRHV,US/Pacific,Reid-Hillview Airport of Santa Clara County
KBNA,US/Central,Nashville International Airport
KONT,US/Pacific,Ontario International Airport
KLMT,US/Pacific,Crater Lake-Klamath Regional Airport
KANB,US/Central,Anniston Regional Airport
KMCJ,US/Central,Salina Municipal Airport
K04W,US/Central,Field of Dreams Airport
KNEW,US/Central,Lakefront Airport
KFSM,US/Central,Fort Smith Regional Airport
KLVK,US/Pacific,Livermore Municipal Airport
KOGD,US/Mountain,Ogden Hinckley Airport
KMAE,US/Pacific,Madera Municipal Airport
KILM,US/Eastern,Wilmington International Airport
KMOD,US/Pacific,Modesto City Co-Harry Sham Field
KSJC,US/Pacific,Norman Y. Mineta San Jose International Airport
KSTP,US/Central,Saint Paul Downtown Holman Field
KJFZ,US/Eastern,Tazewell County Airport
KCQT,US/Pacific,Pacific Valley Aviation Airport
KPDX,US/Pacific,Portland International Airport
KVRB,US/Eastern,Vero Beach Regional Airport
KSAN,US/Pacific,San Diego International Airport
KCLT,US/Eastern,Charlotte Douglas International Airport
KUKI,US/Pacific,Ukiah Municipal Airport
KSBD,US/Pacific,San Bernardino International Airport
KMCJ,US/Central,Salina Municipal Airport
KRCE,US/Central,Clarence E Page Municipal Airport
KTHV,US/Eastern,York Airport
KDFW,US/Central,Dallas Fort Worth International Airport
KTCL,US/Central,Tuscaloosa National Airport
KFLO,US/Eastern,Florence Regional Airport
KOAK,US/Pacific,San Francisco Bay Oakland International Airport
KOAK,US/Pacific,San Francisco Bay Oakland International Airport
KSNA,US/Pacific,John Wayne Orange County International Airport
KMCJ,US/Central,Salina Municipal Airport
KILG,US/Eastern,Wilmington Airport
KCHA,US/Eastern,Chattanooga Metropolitan Airport (Lovell Field)
KIND,US/Eastern,Indianapolis International Airport
KRDU,US/Eastern,Raleigh Durham International Airport
KCIC,US/Pacific,Chico Regional Airport
KEZF,US/Eastern,Shannon Airport
KDYT,US/Central,Sky Harbor Airport
KTMB,US/Eastern,Miami Executive Airport
KDCA,US/Eastern,Ronald Reagan Washington National Airport
KSPA,US/Eastern,Spartanburg Downtown Memorial Airport
KFUL,US/Pacific,Fullerton Municipal Airport
KAOO,US/Eastern,Altoona Blair County Airport
KSFZ,US/Eastern,North Central State Airport
KCHA,US/Eastern,Chattanooga Metropolitan Airport (Lovell Field)
KLNS,US/Eastern,Lancaster Airport
KCQT,US/Pacific,Pacific Valley Aviation Airport
KBOK,US/Pacific,Brookings Airport
KCLT,US/Eastern,Charlotte Douglas International Airport
KONT,US/Pacific,Ontario International Airport
KSMO,US/Pacific,Santa Monica Municipal Airport
KPHL,US/Eastern,Philadelphia International Airport
KDAL,US/Central,Dallas Love Field
KTTN,US/Eastern,Trenton Mercer Airport
KGRD,US/Eastern,Greenwood County Airport
KFUL,US/Pacific,Fullerton Municipal Airport
KBFM,US/Central,Mobile Downtown Airport
KAUS,US/Central,Austin Bergstrom International Airport
KAGS,US/Eastern,Augusta Regional At Bush Field
KRSW,US/Eastern,Southwest Florida International Airport
KMOD,US/Pacific,Modesto City Co-Harry Sham Field
KWVI,US/Pacific,Watsonville Municipal Airport
KBDL,US/Eastern,Bradley International Airport
KTMB,US/Eastern,Miami Executive Airport
KSPA,US/Eastern,Spartanburg Downtown Memorial Airport
KIAH,US/Central,George Bush Intercontinental Houston Airport
KRMG,US/Eastern,Richard B Russell Airport
KMKC,US/Central,Charles B. Wheeler Downtown Airport
K3LF,US/Central,Litchfield Municipal Airport
KCQT,US/Pacific,Pacific Valley Aviation Airport
KSHV,US/Central,Shreveport Regional Airport
KEMT,US/Pacific,San Gabriel Valley Airport
KAIK,US/Eastern,Aiken Regional Airport
KGYH,US/Eastern,Donaldson Field Airport
KCTY,US/Eastern,Cross City Airport
KSFO,US/Pacific,San Francisco International Airport
KIFP,US/Mountain,Laughlin Bullhead International Airport
KCQT,US/Pacific,Pacific Valley Aviation Airport
KNRS,US/Pacific,Naval Outlying Field Imperial Beach (Ream Field)
KSNA,US/Pacific,John Wayne Orange County International Airport
KSCK,US/Pacific,Stockton Metropolitan Airport
KGMU,US/Eastern,Greenville Downtown Airport
KDCA,US/Eastern,Ronald Reagan Washington National Airport
KEMT,US/Pacific,San Gabriel Valley Airport
KHUA,US/Central,Redstone Army Air Field
KBFL,US/Pacific,Meadows Field
KCAE,US/Eastern,Columbia Metropolitan Airport
KHHR,US/Pacific,Jack Northrop Field Hawthorne Municipal Airport
KCXY,US/Eastern,Capital City Airport
KXVG,US/Central,Longville Municipal Airport
KGYR,US/Mountain,Phoenix Goodyear Airport
KORL,US/Eastern,Orlando Executive Airport
KFCM,US/Central,Flying Cloud Airport
KCBE,US/Eastern,Greater Cumberland Regional Airport
KEDU,US/Pacific,University Airport
KTHV,US/Eastern,York Airport
KOPF,US/Eastern,Miami-Opa Locka Executive Airport
KDCA,US/Eastern,Ronald Reagan Washington National Airport
KSNS,US/Pacific,Salinas Municipal Airport
KSAT,US/Central,San Antonio International Airport
KSRQ,US/Eastern,Sarasota Bradenton International Airport
KPNE,US/Eastern,Northeast Philadelphia Airport
KOAK,US/Pacific,San Francisco Bay Oakland International Airport
KF70,US/Pacific,French Valley Airport
KMGY,US/Eastern,Dayton-Wright Brothers Airport
KHPN,US/Eastern,Westchester County Airport
KHHR,US/Pacific,Jack Northrop Field Hawthorne Municipal Airport
KLUF,US/Mountain,Luke Air Force Base
KPRB,US/Pacific,Paso Robles Municipal Airport
KLUK,US/Eastern,Cincinnati Municipal Airport Lunken Field
KORD,US/Central,Chicago O'Hare International Airport
KBTR,US/Central,Baton Rouge Metropolitan Airport
KLDJ,US/Eastern,Linden Airport
KPOC,US/Pacific,Brackett Field
KORL,US/Eastern,Orlando Executive Airport
KHRJ,US/Eastern,Harnett Regional Jetport Airport
KORL,US/Eastern,Orlando Executive Airport
KMIA,US/Eastern,Miami International Airport
KDMA,US/Mountain,Davis Monthan Air Force Base
KCXY,US/Eastern,Capital City Airport
KBDR,US/Eastern,Igor I Sikorsky Memorial Airport
KTCL,US/Central,Tuscaloosa National Airport
KOGD,US/Mountain,Ogden Hinckley Airport
KRBL,US/Pacific,Red Bluff Municipal Airport
KTMB,US/Eastern,Miami Executive Airport
KLUA,US/Eastern,Luray Caverns Airport
KLOT,US/Central,Lewis University Airport
KPIE,US/Eastern,St. Petersburg Clearwater International Airport
KFXE,US/Eastern,Fort Lauderdale Executive Airport
KRUT,US/Eastern,Rutland - Southern Vermont Regional Airport
KMGY,US/Eastern,Dayton-Wright Brothers Airport
KFCI,US/Eastern,Richmond Executive-Chesterfield County Airport
K3A6,US/Pacific,Pacific City State Airport
KPVU,US/Mountain,Provo-Utah Lake International Airport
KONT,US/Pacific,Ontario International Airport
KPHX,US/Mountain,Phoenix Sky Harbor International Airport
KLGB,US/Pacific,Long Beach Airport (Daugherty Field)
KBOI,US/Mountain,Boise Air Terminal/Gowen Field
KSTP,US/Central,Saint Paul Downtown Holman Field
KPIE,US/Eastern,St. Petersburg Clearwater International Airport
KISM,US/Eastern,Kissimmee Gateway Airport
KSRQ,US/Eastern,Sarasota Bradenton International Airport
KTTD,US/Pacific,Portland Troutdale Airport
KRBG,US/Pacific,Roseburg Regional Airport
KSEG,US/Eastern,Penn Valley Airport
KBLU,US/Pacific,Blue Canyon Nyack Airport
KCCR,US/Pacific,Buchanan Field
KFUL,US/Pacific,Fullerton Municipal Airport
KORD,US/Central,Chicago O'Hare International Airport
KVNY,US/Pacific,Van Nuys Airport
KSNS,US/Pacific,Salinas Municipal Airport
KISM,US/Eastern,Kissimmee Gateway Airport
KDVT,US/Mountain,Phoenix Deer Valley Airport
KTMB,US/Eastern,Miami Executive Airport
KSPA,US/Eastern,Spartanburg Downtown Memorial Airport
KCHA,US/Eastern,Chattanooga Metropolitan Airport (Lovell Field)
KSAC,US/Pacific,Sacramento Executive Airport
KMIA,US/Eastern,Miami International Airport
KCAE,US/Eastern,Columbia Metropolitan Airport
KSMO,US/Pacific,Santa Monica Municipal Airport
KVNY,US/Pacific,Van Nuys Airport
KF70,US/Pacific,French Valley Airport
KBNW,US/Central,Boone Municipal Airport
KCQT,US/Pacific,Pacific Valley Aviation Airport
KMIA,US/Eastern,Miami International Airport
KSPG,US/Eastern,Albert Whitted Airport
KCUB,US/Eastern,Jim Hamilton L.B. Owens Airport
KPHX,US/Mountain,Phoenix Sky Harbor International Airport
KBFL,US/Pacific,Meadows Field
KRIV,US/Pacific,March Air Reserve Base
KBAK,US/Eastern,Columbus Municipal Airport
KLGB,US/Pacific,Long Beach Airport (Daugherty Field)
KCLT,US/Eastern,Charlotte Douglas International Airport
KRMY,US/Eastern,Brooks Field
KGSP,US/Eastern,Greenville Spartanburg International Airport
KCID,US/Central,The Eastern Iowa Airport
KTMB,US/Eastern,Miami Executive Airport
KFAY,US/Eastern,Fayetteville Regional Airport - Grannis Field
KLZU,US/Eastern,Gwinnett County Briscoe Field
KDCA,US/Eastern,Ronald Reagan Washington National Airport
KBZN,US/Mountain,Bozeman Yellowstone International Airport
KORL,US/Eastern,Orlando Executive Airport
KUAO,US/Pacific,Aurora State Airport
KFTY,US/Eastern,Fulton County Airport Brown Field
KPDX,US/Pacific,Portland International Airport
KORD,US/Central,Chicago O'Hare International Airport
KTRI,US/Eastern,Tri-Cities Regional TN/VA Airport
KRSW,US/Eastern,Southwest Florida International Airport
KGKY,US/Central,Arlington Municipal Airport
KLGA,US/Eastern,LaGuardia Airport
KO22,US/Pacific,Columbia Airport
KCHS,US/Eastern,Charleston International Airport
KPIE,US/Eastern,St. Petersburg Clearwater International Airport
KSFF,US/Pacific,Felts Field
KHEF,US/Eastern,Manassas Regional Airport/Harry P. Davis Field
KFLL,US/Eastern,Fort Lauderdale Hollywood International Airport
KCMH,US/Eastern,John Glenn Columbus International Airport
KSBA,US/Pacific,Santa Barbara Municipal Airport
KTYS,US/Eastern,McGhee Tyson Airport
KMCO,US/Eastern,Orlando International Airport
KCNO,US/Pacific,Chino Airport
KMDW,US/Central,Chicago Midway International Airport
KUKI,US/Pacific,Ukiah Municipal Airport
KTYS,US/Eastern,McGhee Tyson Airport
KOFP,US/Eastern,Hanover County Municipal Airport
KCLT,US/Eastern,Charlotte Douglas International Airport
KANE,US/Central,Anoka County-Blaine (Janes Field) Airport
KBUR,US/Pacific,Hollywood Burbank Airport
KHST,US/Eastern,Homestead ARB Airport
KEOE,US/Eastern,Newberry County Airport
KXSA,US/Eastern,Tappahannock-Essex County Airport
KEXX,US/Eastern,Davidson County Executive Airport
KLVK,US/Pacific,Livermore Municipal Airport
KOPF,US/Eastern,Miami-Opa Locka Executive Airport
KVQQ,US/Eastern,Cecil Airport
KMCO,US/Eastern,Orlando International Airport
KCUB,US/Eastern,Jim Hamilton L.B. Owens Airport
KSTC,US/Central,Saint Cloud Regional Airport
KONT,US/Pacific,Ontario International Airport
KFNT,US/Eastern,Bishop International Airport
KMCC,US/Pacific,McClellan Airfield
KCHO,US/Eastern,Charlottesville Albemarle Airport
KSIF,US/Eastern,Rockingham County NC Shiloh Airport
KIXA,US/Eastern,Halifax-Northampton Regional Airport
KJRB,US/Eastern,Downtown Manhattan Heliport
KCDW,US/Eastern,Essex County Airport
KSAN,US/Pacific,San Diego International Airport
KI69,US/Eastern,Clermont County Airport
KORL,US/Eastern,Orlando Executive Airport
KLAX,US/Pacific,Los Angeles International Airport
KCIC,US/Pacific,Chico Regional Airport
KFCI,US/Eastern,Richmond Executive-Chesterfield County Airport
KSRQ,US/Eastern,Sarasota Bradenton International Airport
KOGB,US/Eastern,Orangeburg Municipal Airport
KMCJ,US/Central,Salina Municipal Airport
KMIA,US/Eastern,Miami International Airport
KBFL,US/Pacific,Meadows Field
KBKV,US/Eastern,Brooksville–Tampa Bay Regional Airport
KNUQ,US/Pacific,Moffett Federal Airfield
KVDF,US/Eastern,Tampa Executive Airport
KFCI,US/Eastern,Richmond Executive-Chesterfield County Airport
KBNA,US/Central,Nashville International Airport
KORD,US/Central,Chicago O'Hare International Airport
KO69,US/Pacific,Petaluma Municipal Airport
KATL,US/Eastern,Hartsfield Jackson Atlanta International Airport
KADW,US/Eastern,Joint Base Andrews
KORL,US/Eastern,Orlando Executive Airport
KSLC,US/Mountain,Salt Lake City International Airport
KMCJ,US/Central,Salina Municipal Airport
KSJC,US/Pacific,Norman Y. Mineta San Jose International Airport
KSLC,US/Mountain,Salt Lake City International Airport
KOGB,US/Eastern,Orangeburg Municipal Airport
KSMO,US/Pacific,Santa Monica Municipal Airport
KHHR,US/Pacific,Jack Northrop Field Hawthorne Municipal Airport
KCCR,US/Pacific,Buchanan Field
KBNA,US/Central,Nashville International Airport
KMQS,US/Eastern,Chester County G O Carlson Airport
KUES,US/Central,Waukesha County Airport
KATT,US/Central,Central City Municipal - Larry Reineke Field
KTMB,US/Eastern,Miami Executive Airport
KFXE,US/Eastern,Fort Lauderdale Executive Airport
KPAM,US/Central,Tyndall Air Force Base
KTHV,US/Eastern,York Airport
KIAD,US/Eastern,Washington Dulles International Airport
KFLL,US/Eastern,Fort Lauderdale Hollywood International Airport
KCQT,US/Pacific,Pacific Valley Aviation Airport
KMOD,US/Pacific,Modesto City Co-Harry Sham Field
KHFD,US/Eastern,Hartford Brainard Airport
KPNE,US/Eastern,Northeast Philadelphia Airport
K21D,US/Central,Lake Elmo Airport
KCHD,US/Mountain,Chandler Municipal Airport
KMNI,US/Eastern,Santee Cooper Regional Airport
